FL_DATE,OP_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,AIR_TIME,DISTANCE
2023-05-16,B6,DFW,DEN,1015,1015,19.0,11,1201,1201,5.0,0,0,106.0,85.0,516.0
2023-05-24,AA,EWR,CLT,905,905,4.0,22,1152,1152,-2.0,0,0,167.0,140.0,1076.0
2023-11-24,NK,MCO,ATL,740,740,-2.0,9,948,948,2.0,0,0,128.0,111.0,778.0
2023-08-02,AS,CLT,DFW,1435,1435,-14.0,22,1835,1835,-12.0,0,0,240.0,209.0,1593.0
2023-09-15,AA,SFO,EWR,1855,1855,-11.0,31,51,51,-9.0,0,0,356.0,318.0,2610.0
2023-05-21,NK,MCO,CLT,2115,2115,0.0,13,250,250,8.0,0,0,335.0,316.0,2404.0
2023-09-26,WN,ATL,LAX,1230,1230,78.0,15,1600,1600,78.0,0,0,210.0,184.0,1335.0
2023-10-20,WN,EWR,MCO,1545,1545,13.0,29,2053,2053,3.0,0,0,308.0,268.0,2170.0
2023-03-31,AA,IAH,DFW,505,505,13.0,30,641,641,4.0,0,0,96.0,58.0,355.0
2023-07-16,B6,MCO,CLT,1900,1900,31.0,27,2135,2135,34.0,0,0,155.0,117.0,894.0
2023-10-19,NK,ORD,JFK,2225,2225,23.0,20,334,334,27.0,0,0,309.0,280.0,2212.0
2023-12-31,UA,MIA,ATL,1055,1055,15.0,10,1556,1556,4.0,0,0,301.0,285.0,2047.0
2023-02-08,B6,JFK,MCO,725,725,280.0,33,1038,1038,293.0,0,0,193.0,155.0,1231.0
2023-11-23,AS,EWR,LAX,1730,1730,-7.0,28,2308,2308,-15.0,0,0,338.0,303.0,2335.0
2023-04-30,NK,LAX,DFW,2055,2055,-8.0,23,220,220,-7.0,0,0,325.0,294.0,2304.0
2023-09-01,F9,ATL,DEN,2225,2225,14.0,14,329,329,14.0,0,0,304.0,282.0,2025.0
2023-06-25,UA,PHX,SEA,1755,1755,5.0,30,1908,1908,4.0,0,0,73.0,34.0,290.0
2023-05-08,NK,ORD,PHX,1735,1735,4.0,16,2216,2216,4.0,0,0,281.0,261.0,2033.0
2023-06-19,DL,DFW,MIA,1240,1240,7.0,20,1546,1546,4.0,0,0,186.0,156.0,1122.0
2023-01-19,DL,EWR,SEA,1025,1025,-6.0,11,1148,1148,7.0,0,0,83.0,65.0,232.0
2023-11-07,WN,MIA,SFO,520,520,-8.0,11,628,628,-13.0,0,0,68.0,47.0,183.0
2023-11-30,WN,JFK,EWR,2115,2115,-8.0,30,2319,2319,-4.0,0,0,124.0,89.0,566.0
2023-09-23,NK,JFK,CLT,1455,1455,14.0,33,1609,1609,18.0,0,0,74.0,31.0,211.0
2023-06-22,B6,SFO,DFW,1605,1605,3.0,8,1816,1816,6.0,0,0,131.0,118.0,804.0
2023-08-07,WN,DEN,LAX,1755,1755,-2.0,15,2059,2059,6.0,0,0,184.0,165.0,1081.0
2023-12-26,DL,LAX,MIA,2225,2225,43.0,19,350,350,49.0,0,0,325.0,295.0,2209.0
2023-02-20,DL,IAH,CLT,1510,1510,-3.0,10,1628,1628,1.0,0,0,78.0,59.0,348.0
2023-02-11,AA,CLT,MIA,855,855,10.0,15,1112,1112,15.0,0,0,137.0,113.0,810.0
2023-03-22,WN,CLT,IAH,1415,1415,-12.0,22,1933,1933,-2.0,0,0,318.0,288.0,2313.0
2023-08-21,AA,LAX,ATL,2240,2240,16.0,11,9,9,22.0,0,0,89.0,71.0,421.0
2023-02-23,NK,LAX,PHX,1905,1905,-19.0,28,2203,2203,-9.0,0,0,178.0,144.0,1108.0
2023-02-16,DL,ORD,CLT,1520,1520,1.0,19,1818,1818,11.0,0,0,178.0,150.0,969.0
2023-07-16,UA,EWR,DFW,505,505,6.0,18,701,701,9.0,0,0,116.0,93.0,715.0
2023-09-02,NK,DEN,LAS,1645,1645,-10.0,9,2144,2144,-2.0,0,0,299.0,284.0,2175.0
2023-08-20,NK,MIA,PHX,825,825,13.0,12,1322,1322,19.0,0,0,297.0,278.0,2056.0
2023-05-17,DL,EWR,CLT,1135,1135,-0.0,32,1544,1544,10.0,0,0,249.0,212.0,1708.0
2023-12-18,NK,LAS,DFW,1210,1210,-3.0,11,1555,1555,12.0,0,0,225.0,209.0,1408.0
2023-08-12,DL,CLT,ORD,1725,1725,-7.0,22,1852,1852,-3.0,0,0,87.0,60.0,340.0
2023-08-08,F9,LAX,SEA,655,655,-14.0,20,1100,1100,-15.0,0,0,245.0,214.0,1598.0
2023-09-19,B6,DEN,EWR,715,715,-15.0,27,1145,1145,-11.0,0,0,270.0,238.0,1796.0
2023-03-03,AS,MIA,ATL,1745,1745,-11.0,23,1931,1931,-1.0,0,0,106.0,76.0,525.0
2023-09-22,AA,MIA,ATL,1755,1755,40.0,26,2220,2220,42.0,0,0,265.0,229.0,1796.0
2023-07-02,UA,SFO,SEA,1830,1830,161.0,23,2005,2005,165.0,0,0,95.0,63.0,540.0
2023-04-29,UA,JFK,EWR,1110,1110,62.0,21,1302,1302,58.0,0,0,112.0,80.0,642.0
2023-11-23,UA,EWR,JFK,1650,1650,5.0,10,1917,1917,8.0,0,0,147.0,127.0,849.0
2023-04-06,DL,SFO,LAS,1640,1640,-12.0,24,2259,2259,3.0,0,0,379.0,346.0,2678.0
2023-05-12,DL,LAX,PHX,1010,1010,-35.0,30,1557,1557,-18.0,0,0,347.0,307.0,2551.0
2023-05-07,DL,LAS,SEA,925,925,13.0,23,1141,1141,11.0,0,0,136.0,109.0,887.0
2023-09-16,UA,EWR,IAH,1525,1525,6.0,32,2100,2100,7.0,0,0,335.0,293.0,2360.0
2023-06-18,UA,JFK,ATL,1100,1100,-7.0,8,1559,1559,6.0,0,0,299.0,285.0,2065.0
2023-11-07,NK,ORD,DEN,1715,1715,4.0,25,2100,2100,7.0,0,0,225.0,190.0,1550.0
2023-12-31,UA,CLT,ORD,605,605,17.0,17,725,725,21.0,0,0,80.0,53.0,359.0
2023-04-16,AS,PHX,MIA,1640,1640,-17.0,22,1819,1819,-15.0,0,0,99.0,68.0,600.0
2023-05-25,F9,SEA,LAX,1830,1830,4.0,32,2043,2043,9.0,0,0,133.0,97.0,810.0
2023-01-08,AA,LAS,IAH,2255,2255,4.0,15,206,206,9.0,0,0,191.0,169.0,1219.0
2023-07-12,WN,CLT,ORD,2100,2100,12.0,12,255,255,15.0,0,0,355.0,336.0,2477.0
2023-01-02,B6,DEN,LAX,1315,1315,1.0,33,1926,1926,4.0,0,0,371.0,328.0,2710.0
2023-06-11,WN,EWR,MIA,1425,1425,12.0,26,1854,1854,10.0,0,0,269.0,237.0,1765.0
2023-05-28,B6,PHX,LAS,830,830,-11.0,20,1226,1226,-6.0,0,0,236.0,211.0,1582.0
2023-06-07,AA,LAS,MCO,1635,1635,14.0,11,1819,1819,-1.0,0,0,104.0,85.0,577.0
2023-11-13,AS,LAS,CLT,655,655,-21.0,27,1131,1131,-11.0,0,0,276.0,244.0,1832.0
2023-01-07,WN,IAH,MIA,730,730,-19.0,31,1314,1314,-18.0,0,0,344.0,305.0,2309.0
2023-12-14,NK,DEN,SFO,530,530,5.0,28,850,850,5.0,0,0,200.0,165.0,1238.0
2023-12-08,B6,SFO,CLT,1725,1725,6.0,17,1950,1950,10.0,0,0,145.0,123.0,841.0
2023-04-27,AS,DFW,CLT,1010,1010,-18.0,33,1416,1416,-12.0,0,0,246.0,203.0,1686.0
2023-04-26,UA,PHX,EWR,1255,1255,-13.0,16,1454,1454,-15.0,0,0,119.0,96.0,624.0
2023-08-18,UA,LAS,DFW,800,800,10.0,28,1315,1315,13.0,0,0,315.0,280.0,2210.0
2023-10-14,AA,EWR,PHX,1955,1955,1.0,23,2154,2154,9.0,0,0,119.0,87.0,622.0
2023-01-21,DL,EWR,MCO,1700,1700,-1.0,24,2254,2254,-4.0,0,0,354.0,320.0,2661.0
2023-06-18,F9,CLT,SEA,1255,1255,-14.0,25,1543,1543,-3.0,0,0,168.0,138.0,976.0
2023-07-25,AA,PHX,SEA,2105,2105,17.0,15,132,132,17.0,0,0,267.0,243.0,1926.0
2023-10-24,NK,LAS,EWR,2150,2150,-13.0,8,2253,2253,-7.0,0,0,63.0,51.0,232.0
2023-12-05,AA,JFK,ATL,1130,1130,-1.0,33,1640,1640,9.0,0,0,310.0,268.0,2148.0
2023-12-05,WN,LAS,SEA,815,815,-12.0,13,1046,1046,-20.0,0,0,151.0,133.0,711.0
2023-12-29,NK,PHX,CLT,1325,1325,-8.0,31,1859,1859,-1.0,0,0,334.0,299.0,2283.0
2023-06-01,AA,EWR,ORD,2045,2045,1.0,17,217,217,25.0,0,0,332.0,311.0,2342.0
2023-05-03,WN,SFO,LAX,1235,1235,-10.0,27,1550,1550,-19.0,0,0,195.0,157.0,1300.0
2023-02-19,F9,DFW,EWR,1610,1610,-0.0,16,2138,2138,-1.0,0,0,328.0,303.0,2436.0
2023-05-20,AS,PHX,CLT,1925,1925,1.0,12,2207,2207,-3.0,0,0,162.0,140.0,971.0
2023-09-30,NK,CLT,MIA,2045,2045,10.0,15,224,224,16.0,0,0,339.0,319.0,2190.0
2023-11-24,UA,JFK,EWR,1700,1700,13.0,9,1823,1823,5.0,0,0,83.0,67.0,331.0
2023-07-09,UA,MIA,SFO,530,530,-13.0,31,722,722,-25.0,0,0,112.0,76.0,553.0
2023-07-31,AA,SFO,PHX,1750,1750,8.0,23,2153,2153,11.0,0,0,243.0,213.0,1753.0
2023-12-13,DL,EWR,ORD,635,635,-8.0,33,804,804,-4.0,0,0,89.0,48.0,267.0
2023-06-30,DL,JFK,LAX,930,930,-29.0,13,1154,1154,-26.0,0,0,144.0,127.0,809.0
2023-03-23,WN,ATL,DEN,1655,1655,1.0,26,2201,2201,-2.0,0,0,306.0,273.0,2154.0
2023-12-07,WN,MCO,LAS,2025,2025,7.0,22,128,128,5.0,0,0,303.0,273.0,2198.0
2023-01-25,UA,CLT,ORD,2115,2115,-18.0,29,303,303,-10.0,0,0,348.0,315.0,2448.0
2023-05-24,WN,DFW,ORD,1925,1925,-3.0,28,2259,2259,1.0,0,0,214.0,177.0,1424.0
2023-11-28,AA,EWR,MCO,725,725,6.0,25,857,857,12.0,0,0,92.0,59.0,328.0
2023-09-03,AA,LAS,PHX,1250,1250,-1.0,8,1411,1411,-7.0,0,0,81.0,65.0,287.0
2023-02-21,AA,LAS,ATL,1515,1515,-19.0,8,1704,1704,0.0,0,0,109.0,94.0,531.0
2023-08-18,AA,DFW,JFK,505,505,-13.0,33,1042,1042,-20.0,0,0,337.0,298.0,2336.0
2023-02-16,DL,PHX,MIA,1720,1720,-12.0,8,1934,1934,-7.0,0,0,134.0,119.0,652.0
2023-02-10,AA,MCO,LAS,2240,2240,8.0,14,48,48,11.0,0,0,128.0,105.0,639.0
2023-04-09,B6,LAS,DFW,920,920,-7.0,24,1447,1447,-4.0,0,0,327.0,295.0,2161.0
2023-03-31,UA,PHX,IAH,605,605,-17.0,14,845,845,-3.0,0,0,160.0,136.0,986.0
2023-01-31,UA,PHX,EWR,1620,1620,30.0,10,1842,1842,15.0,0,0,142.0,121.0,748.0
2023-07-26,UA,LAS,MCO,750,750,-9.0,34,1001,1001,-7.0,0,0,131.0,90.0,756.0
2023-03-11,UA,LAS,MCO,1600,1600,-18.0,16,1922,1922,-6.0,0,0,202.0,178.0,1271.0
2023-04-20,NK,EWR,CLT,1800,1800,16.0,30,2339,2339,25.0,0,0,339.0,300.0,2538.0
2023-07-14,UA,PHX,ATL,2235,2235,-9.0,24,311,311,6.0,0,0,276.0,244.0,1809.0
2023-01-22,B6,JFK,CLT,2150,2150,-5.0,19,233,233,-8.0,0,0,283.0,259.0,1905.0
2023-07-23,WN,ATL,EWR,1035,1035,-5.0,27,1502,1502,1.0,0,0,267.0,234.0,1784.0
2023-06-14,UA,SFO,MIA,620,620,-2.0,9,1138,1138,9.0,0,0,318.0,299.0,2230.0
2023-03-13,WN,DEN,JFK,2105,2105,6.0,14,2331,2331,1.0,0,0,146.0,124.0,846.0
2023-05-15,NK,ATL,SFO,1540,1540,-3.0,32,2006,2006,-7.0,0,0,266.0,230.0,1891.0
2023-01-26,WN,DEN,MCO,700,700,-2.0,10,1116,1116,-11.0,0,0,256.0,241.0,1792.0
2023-03-12,DL,LAX,MIA,1510,1510,-23.0,18,1608,1608,-4.0,0,0,58.0,32.0,197.0
2023-06-09,AA,LAS,SFO,1230,1230,24.0,9,1808,1808,22.0,0,0,338.0,324.0,2395.0
2023-08-11,NK,JFK,DFW,2040,2040,6.0,19,1,1,9.0,0,0,201.0,176.0,1303.0
2023-07-25,WN,EWR,DEN,2205,2205,4.0,26,236,236,2.0,0,0,271.0,236.0,1746.0
2023-12-08,UA,ATL,MCO,1715,1715,15.0,15,1950,1950,28.0,0,0,155.0,136.0,1010.0
2023-02-20,AA,JFK,EWR,1105,1105,22.0,25,1602,1602,12.0,0,0,297.0,264.0,2069.0
2023-11-06,AA,SEA,SFO,2130,2130,-30.0,9,252,252,-14.0,0,0,322.0,305.0,2183.0
2023-01-07,DL,EWR,ORD,1200,1200,5.0,23,1430,1430,10.0,0,0,150.0,116.0,859.0
2023-11-09,WN,ORD,IAH,2105,2105,7.0,31,300,300,20.0,0,0,355.0,320.0,2507.0
2023-02-24,DL,CLT,DFW,1920,1920,42.0,17,2143,2143,44.0,0,0,143.0,121.0,846.0
2023-09-14,WN,IAH,LAX,1725,1725,7.0,15,2234,2234,14.0,0,0,309.0,284.0,2149.0
2023-12-05,WN,SFO,DEN,545,545,-10.0,10,804,804,-9.0,0,0,139.0,122.0,879.0
2023-07-30,WN,ORD,ATL,1550,1550,-0.0,14,1748,1748,4.0,0,0,118.0,96.0,531.0
2023-10-10,F9,CLT,SEA,1955,1955,3.0,13,2110,2110,-6.0,0,0,75.0,58.0,353.0
2023-01-23,NK,JFK,SFO,1000,1000,15.0,33,1130,1130,7.0,0,0,90.0,47.0,364.0
2023-06-12,AS,JFK,IAH,1500,1500,-0.0,17,1807,1807,7.0,0,0,187.0,160.0,1120.0
2023-02-05,WN,MIA,MCO,1740,1740,-4.0,9,2308,2308,3.0,0,0,328.0,308.0,2270.0
2023-03-24,WN,ORD,DEN,2055,2055,16.0,23,9,9,13.0,0,0,194.0,161.0,1193.0
2023-06-11,NK,IAH,EWR,1615,1615,12.0,15,1810,1810,14.0,0,0,115.0,92.0,
2023-05-01,DL,IAH,JFK,1240,1240,-9.0,15,1752,1752,-7.0,0,0,312.0,289.0,2051.0
2023-12-30,AA,DEN,IAH,2140,2140,12.0,24,51,51,19.0,0,0,191.0,160.0,1174.0
2023-07-28,WN,ATL,PHX,1020,1020,15.0,31,1432,1432,12.0,0,0,252.0,214.0,1530.0
2023-11-27,DL,SEA,PHX,1835,1835,-27.0,32,2227,2227,-11.0,0,0,232.0,196.0,1658.0
2023-05-01,AA,MIA,MCO,1850,1850,-7.0,12,2108,2108,-3.0,0,0,138.0,116.0,802.0
2023-10-04,UA,SEA,SFO,1855,1855,-11.0,24,2045,2045,-7.0,0,0,110.0,81.0,620.0
2023-05-04,DL,LAS,PHX,1635,1635,-11.0,32,2016,2016,1.0,0,0,221.0,184.0,1520.0
2023-04-07,F9,PHX,MCO,1855,1855,-0.0,21,129,129,-6.0,0,0,394.0,364.0,2726.0
2023-08-10,DL,LAS,ORD,1340,1340,-5.0,34,1500,1500,6.0,0,0,80.0,42.0,405.0
2023-03-04,AA,SFO,PHX,745,745,-11.0,25,1257,1257,-4.0,0,0,312.0,282.0,2118.0
2023-06-21,AA,JFK,IAH,740,740,-7.0,14,1324,1324,-8.0,0,0,344.0,325.0,2611.0
2023-01-21,AS,LAX,JFK,545,545,-24.0,33,658,658,-27.0,0,0,73.0,35.0,286.0
2023-06-01,DL,SFO,LAX,1940,1940,-20.0,18,19,19,-5.0,0,0,279.0,253.0,1886.0
2023-10-07,AA,JFK,SEA,1310,1310,2.0,12,1846,1846,17.0,0,0,336.0,318.0,2491.0
2023-11-04,NK,MCO,ATL,850,850,6.0,14,1324,1324,-4.0,0,0,274.0,256.0,1965.0
2023-11-21,UA,CLT,DFW,820,820,11.0,18,957,957,18.0,0,0,97.0,68.0,
2023-11-14,B6,DFW,DEN,635,635,5.0,11,1024,1024,-1.0,0,0,229.0,209.0,1492.0
2023-08-20,AA,PHX,JFK,1830,1830,17.0,16,2218,2218,6.0,0,0,228.0,206.0,1476.0
2023-06-02,UA,CLT,SFO,2055,2055,18.0,8,309,309,11.0,0,0,374.0,358.0,2676.0
2023-04-29,NK,IAH,LAS,1440,1440,2.0,23,1734,1734,10.0,0,0,174.0,142.0,1051.0
2023-04-30,AS,DEN,IAH,725,725,-14.0,25,952,952,-9.0,0,0,147.0,118.0,918.0
2023-04-30,AS,PHX,ORD,2125,2125,-22.0,11,138,138,-11.0,0,0,253.0,235.0,1691.0
2023-11-12,WN,DFW,ATL,1200,1200,-4.0,31,1726,1726,,0,0,326.0,287.0,2291.0
2023-06-24,UA,PHX,SFO,2050,2050,20.0,9,2333,2333,8.0,0,0,163.0,150.0,943.0
2023-05-01,F9,DEN,MCO,1255,1255,-1.0,30,1917,1917,5.0,0,0,382.0,346.0,2694.0
2023-12-13,AA,MIA,LAX,2025,2025,32.0,17,2131,2131,28.0,0,0,66.0,45.0,245.0
2023-08-18,UA,JFK,DEN,1120,1120,20.0,20,1643,1643,9.0,0,0,323.0,297.0,2369.0
2023-03-13,B6,ORD,IAH,1640,1640,27.0,8,2106,2106,23.0,0,0,266.0,249.0,1744.0
2023-01-22,DL,SEA,SFO,1110,1110,-30.0,16,1311,1311,-19.0,0,0,121.0,96.0,584.0
2023-06-22,AA,ATL,LAX,2020,2020,7.0,28,2336,2336,9.0,0,0,196.0,164.0,1180.0
2023-05-27,B6,JFK,DFW,740,740,-4.0,24,831,831,3.0,0,0,51.0,18.0,285.0
2023-08-26,AS,IAH,MIA,805,805,19.0,22,921,921,16.0,0,0,76.0,43.0,293.0
2023-01-11,NK,PHX,IAH,1840,1840,5.0,20,2358,2358,-3.0,0,0,318.0,290.0,2173.0
2023-01-27,UA,MIA,SFO,2045,2045,111.0,8,2310,2310,102.0,0,0,145.0,129.0,855.0
2023-03-15,WN,MIA,EWR,730,730,-12.0,12,1203,1203,-16.0,0,0,273.0,255.0,1787.0
2023-04-28,AS,LAS,DEN,1300,1300,-16.0,28,1459,1459,,0,0,119.0,86.0,646.0
2023-09-23,AA,MCO,IAH,635,635,-18.0,10,1141,1141,-9.0,0,0,306.0,290.0,2208.0
2023-12-26,WN,SFO,MIA,610,610,-27.0,34,1043,1043,-13.0,0,0,273.0,231.0,1880.0
2023-02-23,WN,LAX,CLT,1215,1215,-18.0,15,1345,1345,-3.0,0,0,90.0,65.0,400.0
2023-05-11,UA,JFK,EWR,1030,1030,-10.0,34,1435,1435,-9.0,0,0,245.0,207.0,1649.0
2023-12-29,DL,MCO,SFO,2255,2255,-3.0,34,250,250,10.0,0,0,235.0,197.0,1476.0
2023-12-14,F9,SFO,MCO,1655,1655,-9.0,33,2317,2317,-5.0,0,0,382.0,342.0,2744.0
2023-04-28,AA,JFK,EWR,1910,1910,-9.0,26,2209,2209,-7.0,0,0,179.0,149.0,1188.0
2023-10-30,WN,LAX,CLT,2025,2025,-4.0,14,2319,2319,-1.0,0,0,174.0,155.0,1051.0
2023-12-29,WN,SEA,CLT,2020,2020,5.0,28,2312,2312,-3.0,0,0,172.0,138.0,983.0
2023-08-27,WN,CLT,LAX,1710,1710,-9.0,33,2010,2010,-0.0,0,0,180.0,141.0,1088.0
2023-04-13,UA,MIA,CLT,1235,1235,5.0,34,1642,1642,5.0,0,0,247.0,205.0,1553.0
2023-12-26,AS,DFW,JFK,1715,1715,-1.0,10,2019,2019,,0,0,184.0,169.0,1230.0
2023-08-11,WN,EWR,PHX,1515,1515,-2.0,22,1641,1641,2.0,0,0,86.0,56.0,369.0
2023-11-03,AS,LAX,DFW,1830,1830,28.0,15,2206,2206,18.0,0,0,216.0,191.0,1327.0
2023-06-22,F9,SFO,DFW,605,605,5.0,10,1130,1130,8.0,0,0,325.0,307.0,2223.0
2023-08-24,AS,CLT,SEA,1845,1845,4.0,14,31,31,19.0,0,0,346.0,326.0,2377.0
2023-07-21,AA,DEN,SFO,1555,1555,0.0,18,2005,2005,15.0,0,0,250.0,224.0,1549.0
2023-06-20,B6,DFW,CLT,1625,1625,6.0,25,2243,2243,6.0,0,0,378.0,342.0,2682.0
2023-10-28,DL,EWR,ORD,1655,1655,-7.0,18,1823,1823,-1.0,0,0,88.0,65.0,496.0
2023-01-16,UA,CLT,EWR,645,645,-1.0,12,904,904,2.0,0,0,139.0,123.0,711.0
2023-03-01,AS,JFK,SFO,745,745,-19.0,11,1124,1124,-4.0,0,0,219.0,197.0,1395.0
2023-03-28,B6,ORD,DEN,1815,1815,9.0,13,2129,2129,7.0,0,0,194.0,175.0,1171.0
2023-07-16,B6,CLT,LAS,1505,1505,22.0,23,2042,2042,21.0,0,0,337.0,305.0,2356.0
2023-12-20,DL,LAS,MIA,2130,2130,9.0,33,6,6,19.0,0,0,156.0,113.0,940.0
2023-08-09,DL,EWR,MCO,1330,1330,4.0,10,1733,1733,12.0,0,0,243.0,222.0,1729.0
2023-04-28,UA,SFO,CLT,810,810,3.0,12,1135,1135,-0.0,0,0,205.0,184.0,1364.0
2023-08-27,WN,SFO,ATL,1625,1625,8.0,28,1922,1922,10.0,0,0,177.0,139.0,1160.0
2023-08-22,UA,LAX,SFO,835,835,-18.0,15,1031,1031,-7.0,0,0,116.0,95.0,609.0
2023-03-24,B6,SFO,JFK,1820,1820,23.0,27,2304,2304,21.0,0,0,284.0,246.0,1928.0
2023-07-26,AA,MIA,ATL,1635,1635,38.0,31,1948,1948,39.0,0,0,193.0,155.0,1217.0
2023-12-07,UA,MIA,EWR,2115,2115,3.0,26,139,139,11.0,0,0,264.0,228.0,1768.0
2023-09-30,F9,DFW,SFO,2055,2055,17.0,24,128,128,19.0,0,0,273.0,241.0,1953.0
2023-06-16,AA,ATL,MCO,1235,1235,13.0,33,1843,1843,-4.0,0,0,368.0,329.0,2551.0
2023-10-31,UA,DEN,SEA,1125,1125,6.0,9,1440,1440,6.0,0,0,195.0,181.0,1185.0
2023-03-05,NK,SFO,JFK,1950,1950,-2.0,15,2147,2147,3.0,0,0,117.0,98.0,742.0
2023-03-21,B6,MCO,DEN,650,650,-3.0,23,1201,1201,10.0,0,0,311.0,279.0,2228.0
2023-06-24,WN,LAS,EWR,1245,1245,-29.0,28,1828,1828,-18.0,0,0,343.0,309.0,2571.0
2023-08-15,DL,MCO,LAX,1645,1645,-12.0,8,2006,2006,-12.0,0,0,201.0,188.0,1235.0
2023-07-04,WN,IAH,SEA,545,545,-18.0,8,810,810,-14.0,0,0,145.0,129.0,945.0
2023-07-02,B6,MIA,EWR,730,730,2.0,20,1209,1209,13.0,0,0,279.0,250.0,1920.0
2023-07-31,NK,JFK,ATL,1800,1800,5.0,29,2139,2139,17.0,0,0,219.0,183.0,1334.0
2023-02-05,NK,DFW,CLT,2230,2230,12.0,9,208,208,9.0,0,0,218.0,198.0,1526.0
2023-09-17,AA,JFK,ORD,1440,1440,11.0,21,1710,1710,,0,0,150.0,118.0,862.0
2023-04-15,DL,SFO,ATL,2205,2205,-7.0,12,50,50,-8.0,0,0,165.0,143.0,1045.0
2023-07-03,NK,ATL,EWR,2245,2245,107.0,17,2346,2346,103.0,0,0,61.0,33.0,168.0
2023-12-25,NK,ATL,MCO,715,715,-7.0,26,915,915,5.0,0,0,120.0,88.0,481.0
2023-03-17,AS,DEN,MCO,1120,1120,-5.0,25,1417,1417,-2.0,0,0,177.0,148.0,1109.0
2023-11-04,DL,ATL,ORD,720,720,-4.0,9,1002,1002,-13.0,0,0,162.0,145.0,911.0
2023-03-05,DL,ATL,ORD,1405,1405,9.0,24,1731,1731,11.0,0,0,206.0,178.0,1308.0
2023-03-08,WN,LAX,IAH,550,550,3.0,24,849,849,-5.0,0,0,179.0,150.0,1070.0
2023-06-15,DL,CLT,IAH,1710,1710,-11.0,33,1836,1836,-13.0,0,0,86.0,45.0,273.0
2023-10-11,WN,DFW,MIA,1830,1830,7.0,24,2121,2121,2.0,0,0,171.0,141.0,1126.0
2023-02-20,DL,LAS,ORD,610,610,14.0,14,708,708,5.0,0,0,58.0,33.0,175.0
2023-03-26,DL,PHX,DFW,805,805,5.0,28,948,948,6.0,0,0,103.0,71.0,591.0
2023-07-17,UA,DEN,SEA,910,910,35.0,24,1207,1207,44.0,0,0,177.0,143.0,990.0
2023-05-02,AA,MCO,CLT,1620,1620,-15.0,29,2031,2031,-9.0,0,0,251.0,215.0,1631.0
2023-05-18,DL,DEN,MIA,635,635,1.0,34,909,909,13.0,0,0,154.0,114.0,947.0
2023-12-17,AA,SFO,LAS,1315,1315,17.0,34,1533,1533,20.0,0,0,138.0,93.0,869.0
2023-06-10,UA,DEN,SFO,815,815,-2.0,26,1141,1141,6.0,0,0,206.0,173.0,1296.0
2023-12-03,DL,PHX,DFW,2005,2005,16.0,22,2314,2314,16.0,0,0,189.0,159.0,1075.0
2023-07-19,UA,DEN,SFO,1930,1930,15.0,16,2220,2220,2.0,0,0,170.0,147.0,926.0
2023-08-23,AA,PHX,EWR,1355,1355,-8.0,17,1727,1727,-11.0,0,0,212.0,187.0,1434.0
